# Renyi Entropy Data
# region_size=4
alpha,squeezing=0.0400,squeezing=0.0894,squeezing=0.2000,squeezing=0.4472,squeezing=1.0000
3.663636363636364,7.490134981057796,5.126729221189864,2.9341563742260535,1.246350490782451,0.3682995529055057
3.7131313131313135,7.47842591831667,5.115542548056882,2.9248749866863033,1.240989344950715,0.3664975335615746
3.762626262626263,7.466948469176001,5.104586478128731,2.915810820990885,1.2357831159612813,0.3647572894648069
3.812121212121213,7.4556953558175705,5.093853725466459,2.9069566272619474,1.2307257204924167,0.3630758367003774
3.8616161616161624,7.444659615451176,5.083337319285981,2.8983054735210647,1.2258113722107888,0.36145037009315717
3.911111111111112,7.4338345829715085,5.073030586615294,2.8898507282396158,1.2210345643923626,0.35987825078378116
3.9606060606060614,7.423213874771143,5.062927136107748,2.8815860440467373,1.2163900537352743,0.358356994772112
4.01010101010101,7.412791373619345,5.053020842921076,2.873505342504663,1.2118728452707686,0.356884262345098
4.05959595959596,7.402561214524477,5.043305834579976,2.865602799869306,1.2074781782866395,0.35545784831382976
4.109090909090909,7.392517771505005,5.033776477747256,2.8578728337611734,1.2032015131851392,0.35407567299160475
4.158585858585859,7.382655645200733,5.024427365835145,2.8503100906782923,1.199038519204105,0.3527357738510979
4.208080808080808,7.372969651261678,5.015253307394218,2.8429094342886434,1.194985062936179,0.3514362978043864
4.257575757575758,7.3634548094574335,5.006249315222758,2.8356659344449744,1.191037197586543,0.3501754940546717
4.307070707070707,7.354106333454604,4.997410596144144,2.828574856869642,1.1871911529146097,0.3489517074731174
4.356565656565657,7.344919621214299,4.988732541404272,2.821631653461497,1.1834433258096435,0.34776337245837075
4.406060606060606,7.335890245965597,4.980210717644893,2.81483195318077,1.1797902714544337,0.34660900724006233
4.455555555555556,7.327013947714514,4.971840858412436,2.8081715534714915,1.1762286950348702,0.34548720859096516
4.505050505050505,7.318286625251223,4.963618856165024,2.80164641218424,1.1727554439566925,0.34439664691554667
4.554545454545455,7.309704328621259,4.95554075474346,2.79525263996496,1.1693675005337707,0.34333606168542197
4.604040404040404,7.301263252029164,4.947602742274609,2.7889864930782986,1.1660619751151213,0.3423042571947285
